year,titre,Oscar,Duration,GG,DGA,PGA,SAG,BAFTA,Notes TMDB,Release Quarter,imdbID,NotesIMDb,NotesRottenTomatoes,NotesMetacritic,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Fantasy,History,Holiday,Horror,Kids & family,Lgbtq+,Musical,Mystery & thriller,Romance,Sci-fi,War,Western,Nommination Bafta,Nommination SAG,Nommination PGA,Nommination DGA,Nommination GG
1927,The Racket,0,,0,0,0,0,0,6.4,4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,7th Heaven,0,1h 59m,0,0,0,0,0,7.317,3,tt0018379,7.6,100.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,Wings,1,2h 19m,0,0,0,0,0,7.205,3,tt0018578,7.6,94.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1927,Sunrise,1,1h 50m,0,0,0,0,0,0.0,1,tt0018455,8.1,98.0,95.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1927,The Crowd,0,,0,0,0,0,0,7.603,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,Chang,0,1h 45m,0,0,0,0,0,6.4,1,tt0017743,6.9,94.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,Alibi,0,1h 30m,0,0,0,0,0,4.958,1,tt0019031,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,In Old Arizona,0,1h 37m,0,0,0,0,0,5.208,4,tt0020018,5.5,56.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1928,The Broadway Melody,1,1h 50m,0,0,0,0,0,5.2,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1928,Hollywood Revue,0,,0,0,0,0,0,5.583,4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,The Patriot,0,1h 48m,0,0,0,0,0,7.175,2,tt0019257,,100.0,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,All Quiet on the Western Front,1,1h 45m,0,0,0,0,0,7.739,4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1929,The Big House,0,,0,0,0,0,0,6.75,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Disraeli,0,,0,0,0,0,0,5.438,4,tt0019823,6.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,The Divorcee,0,,0,0,0,0,0,6.322,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,The Love Parade,0,1h 47m,0,0,0,0,0,7.583,3,tt0020112,7.0,100.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1930,Cimarron,1,2h 27m,0,0,0,0,0,5.5,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1930,East Lynne,0,,0,0,0,0,0,5.889,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,The Front Page,0,1h 30m,0,0,0,0,0,7.283,4,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,Skippy,0,1h 30m,0,0,0,0,0,6.176,2,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1930,Trader Horn,0,2h 3m,0,0,0,0,0,5.25,1,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
